address;number_floats
Россия, Москва, Староваганьковский переулок, 23с2;1
119019, Москва, Город Москва, Улица Воздвиженка, дом 3, к. 1;1
Россия, Москва, Староваганьковский переулок, 23с3;1
115035, Москва, Город Москва, Улица Садовническая, дом 13, стр. 12;1
115035, Москва, Город Москва, Улица Садовническая, дом 13, стр. 11;1
Россия, Москва, Крестовоздвиженский переулок, 2с1;1
Россия, Москва, Крестовоздвиженский переулок, 2с2;1
105062, Москва, Город Москва, Переулок Подсосенский, дом 20, стр. 1;1
115035, Москва, Город Москва, Улица Садовническая, дом 21, к. 1;28
Россия, Москва, Красная площадь, 5;1
105062, Москва, Город Москва, Переулок Подсосенский, дом 20, стр. 3;1
105062, Москва, Город Москва, Переулок Подсосенский, дом 20, стр. 4;1
119002, Москва, Город Москва, Переулок Власьевский Малый, дом 14/23, стр. 2;1
119002, Москва, Город Москва, Переулок Власьевский Малый, дом 14/23, стр. 3;1
119002, Москва, Город Москва, Переулок Староконюшенный, дом 45;10
119002, Москва, Город Москва, Переулок Староконюшенный, дом 43;14
109028, Москва, Город Москва, Переулок Певческий, дом 1, стр. 4;1
Россия, Москва, улица Арбат, 36с1;1
119002, Москва, Город Москва, Переулок Староконюшенный, дом 39;24
119002, Москва, Город Москва, Переулок Кривоарбатский, дом 1;1
119002, Москва, Город Москва, Переулок Староконюшенный, дом 37;33
Россия, Москва, Никольский переулок, 6;1
119002, Москва, Город Москва, Переулок Староконюшенный, дом 33;30
103132, Москва, Город Москва, Переулок Никольский, дом 3;1
119002, Москва, Город Москва, Переулок Староконюшенный, дом 32;46
101000, Москва, Город Москва, Переулок Колпачный, дом 14/5, стр. 1;1
115035, Москва, Город Москва, Набережная Раушская, дом 8, к. 1;1
119002, Москва, Город Москва, Переулок Кривоарбатский, дом 3;28
109028, Москва, Город Москва, Улица Солянка, дом 13, стр. 2;1
109012, Москва, Город Москва, Переулок Никольский, дом 9;1
Россия, Москва, Большой Овчинниковский переулок, 23/11;1
109028, Москва, Город Москва, Переулок Петропавловский, дом 5, стр. 1;1
115035, Москва, Город Москва, Улица Пятницкая, дом 7, стр. 1;1
115035, Москва, Город Москва, Улица Пятницкая, дом 7, стр. 2;1
119072, Москва, Город Москва, Площадь Болотная, дом 2/4;1
Россия, Москва, Климентовский переулок, 12с17А;1
115035, Москва, Город Москва, Улица Пятницкая, дом 7, стр. 5;1
115035, Москва, Город Москва, Улица Пятницкая, дом 7, стр. 6;1
119002, Москва, Город Москва, Переулок Староконюшенный, дом 28;27
109240, Москва, Город Москва, Набережная Москворецкая, дом 9А;1
115184, Москва, Город Москва, Улица Новокузнецкая, дом 23;1
Россия, Москва, Большая Татарская улица, 9;1
119002, Москва, Город Москва, Переулок Староконюшенный, дом 26;70
109028, Москва, Город Москва, Переулок Хохловский, дом 10, стр. 1;1
119002, Москва, Город Москва, Переулок Староконюшенный, дом 25;1
119017, Москва, Город Москва, Улица Новокузнецкая, дом 22;1
115184, Москва, Город Москва, Улица Татарская Большая, дом 5;1
119002, Москва, Город Москва, Переулок Староконюшенный, дом 20;1
Россия, Москва, Большая Татарская улица, 7;1
119017, Москва, Город Москва, Улица Ордынка Малая, дом 9/12, стр. 2;1
109028, Москва, Город Москва, Переулок Хохловский, дом 10, стр. 8;1
119002, Москва, Город Москва, Переулок Староконюшенный, дом 30;84
119017, Москва, Город Москва, Улица Ордынка Малая, дом 9/12, стр. 1;1
109028, Москва, Город Москва, Переулок Хохловский, дом 10, стр. 6;1
109028, Москва, Город Москва, Переулок Хохловский, дом 10, стр. 7;144
115184, Москва, Город Москва, Улица Татарская Большая, дом 3;24
109028, Москва, Город Москва, Переулок Хохловский, дом 10, стр. 4;1
115184, Москва, Город Москва, Улица Новокузнецкая, дом 27;1
109028, Москва, Город Москва, Переулок Хохловский, дом 10, стр. 5;1
115184, Москва, Город Москва, Улица Новокузнецкая, дом 25;1
109028, Москва, Город Москва, Переулок Хохловский, дом 10, стр. 3;1
119017, Москва, Город Москва, Улица Ордынка Малая, дом 9/12, стр. 6;1
115035, Москва, Город Москва, Набережная Садовническая, дом 48, к. 3;1
119017, Москва, Город Москва, Улица Ордынка Малая, дом 9/12, стр. 3;1
Россия, Москва, Москворецкая набережная, 2Б;1
Россия, Москва, Москворецкая набережная, 2А;1
119019, Москва, Город Москва, Улица Арбат, дом 9, стр. 2;1
119002, Москва, Город Москва, Улица Арбат, дом 45/24;40
115035, Москва, Город Москва, Переулок Кадашевский 1-й, дом 11/5, стр. 8;1
115035, Москва, Город Москва, Переулок Кадашевский 1-й, дом 11/5, стр. 6;1
115035, Москва, Город Москва, Переулок Кадашевский 1-й, дом 11/5, стр. 4;1
109240, Москва, Город Москва, Переулок Ватин Большой, дом 3;1
119017, Москва, Город Москва, Улица Ордынка Большая, дом 29, стр. 1А;1
115184, Москва, Город Москва, Улица Новокузнецкая, дом 11;1
109240, Москва, Город Москва, Переулок Ватин Большой, дом 8;1
115184, Москва, Город Москва, Улица Бахрушина, дом 9, стр. 2;1
115184, Москва, Город Москва, Улица Бахрушина, дом 9, стр. 1;1
109028, Москва, Город Москва, Переулок Хохловский, дом 16, стр. 1;1
115184, Москва, Город Москва, Переулок Овчинниковский Большой, дом 24, стр. 5;1
115184, Москва, Город Москва, Переулок Овчинниковский Большой, дом 24, стр. 4;1
115184, Москва, Город Москва, Переулок Овчинниковский Большой, дом 24, стр. 6;1
115035, Москва, Город Москва, Переулок Кадашевский 1-й, дом 11/5, стр. 1;1
Россия, Москва, переулок Сивцев Вражек, 23/14;1
115184, Москва, Город Москва, Переулок Татарский Малый, дом 4, стр. 3;1
115035, Москва, Город Москва, Переулок Кадашевский 3-й, дом 6, стр. 2;1
119019, Москва, Город Москва, Переулок Большой Афанасьевский, дом 41;17
119017, Москва, Город Москва, Улица Ордынка Большая, дом 20/4, к. 12, стр. 11;1
109012, Москва, Город Москва, Улица Варварка, дом 14, стр. 2;1
115035, Москва, Город Москва, Улица Ордынка Большая, дом 12, к. 1;1
109012, Москва, Город Москва, Улица Варварка, дом 14, стр. 1;1
109012, Москва, Город Москва, Улица Варварка, дом 14, стр. 3;1
115035, Москва, Город Москва, Набережная Раушская, дом 6, стр. 1;1
119019, Москва, Город Москва, Бульвар Гоголевский, дом 4;1
119019, Москва, Город Москва, Бульвар Гоголевский, дом 3;5
119019, Москва, Город Москва, Переулок Большой Афанасьевский, дом 34;1
119019, Москва, Город Москва, Бульвар Гоголевский, дом 6;1
119019, Москва, Город Москва, Набережная Кремлевская, дом 1/9, стр. 8;1
119019, Москва, Город Москва, Переулок Большой Афанасьевский, дом 36;7
119019, Москва, Город Москва, Набережная Кремлевская, дом 1/9, стр. 9;24
119019, Москва, Город Москва, Переулок Большой Афанасьевский, дом 31;12
Россия, Москва, Гоголевский бульвар, 8;1
119019, Москва, Город Москва, Бульвар Гоголевский, дом 7;1
119019, Москва, Город Москва, Переулок Большой Афанасьевский, дом 33;29
119019, Москва, Город Москва, Бульвар Гоголевский, дом 9;1
119019, Москва, Город Москва, Переулок Большой Афанасьевский, дом 39;46
109012, Москва, Город Москва, Улица Варварка, дом 4;1
119019, Москва, Город Москва, Бульвар Гоголевский, дом 33/1;15
109012, Москва, Город Москва, Улица Варварка, дом 3;1
109012, Москва, Город Москва, Улица Варварка, дом 2;1
109012, Москва, Город Москва, Улица Варварка, дом 8;1
Россия, Москва, Вишняковский переулок, 23-25;1
109012, Москва, Город Москва, Улица Варварка, дом 6;1
119019, Москва, Город Москва, Переулок Нащокинский, дом 10;1
103132, Москва, Город Москва, Улица Варварка, дом 9;1
